transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
59,93,993,15/2/2017,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.90
60,60,3473,18/12/2017,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
61,0,1839,24/2/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
62,33,1824,18/12/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
63,35,368,17/12/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
64,0,2000,8/7/2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
65,28,825,16/5/2017,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36
66,86,3315,23/2/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
67,2,75,3/7/2017,True,Approved,Solex,Standard,medium,medium,71.49,53.62
68,4,1498,30/9/2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
69,38,1612,21/10/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
70,27,2192,6/5/2017,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
71,54,419,3/1/2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
72,77,3307,9/5/2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
73,22,2430,23/7/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
74,56,1506,21/1/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.90
75,58,1346,20/6/2017,False,Approved,OHM Cycles,Standard,medium,medium,912.52,141.40
76,22,927,10/3/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
77,50,763,2/6/2017,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92
78,80,2397,7/11/2017,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
79,87,102,12/9/2017,True,Approved,Giant Bicycles,Standard,high,medium,1179,707.40
80,15,2884,16/12/2017,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.90
81,84,759,7/10/2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
82,21,773,27/4/2017,True,Approved,Solex,Standard,medium,large,1071.23,380.74
83,0,3398,1/4/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
84,33,3297,2/11/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
85,84,2434,13/2/2017,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
86,1,1861,19/7/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
87,27,1233,23/5/2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
88,31,1390,6/8/2017,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
89,0,2682,4/4/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
90,62,439,15/8/2017,True,Approved,Solex,Standard,medium,medium,478.16,298.72
91,17,1579,15/4/2017,True,Approved,Solex,Standard,high,medium,1024.66,614.80
92,73,2984,25/7/2017,True,Approved,Solex,Standard,medium,medium,1945.43,333.18
93,33,3470,28/11/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
94,86,1,23/12/2017,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
95,45,757,26/2/2017,False,Approved,Solex,Standard,medium,medium,441.49,84.99
96,1,1778,21/2/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
97,80,211,31/5/2017,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
98,49,333,23/6/2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
99,95,32,26/3/2017,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43
100,0,119,31/7/2017,False,Approved,Solex,Standard,medium,medium,478.16,298.72
101,18,2347,27/7/2017,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
102,4,2353,14/4/2017,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
103,33,788,12/11/2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
104,78,1468,12/9/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
105,89,821,26/10/2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
106,70,2489,15/2/2017,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43
107,79,2710,22/12/2017,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
108,26,947,11/10/2017,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63
109,39,1335,27/3/2017,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48
110,36,1076,4/11/2017,False,Approved,Solex,Standard,low,medium,945.04,507.58
111,0,3320,11/6/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
112,84,779,9/10/2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
113,98,3296,7/6/2017,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03
114,75,455,24/10/2017,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
115,76,1779,1/5/2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
116,72,2703,21/11/2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.30
117,42,806,24/3/2017,False,Approved,OHM Cycles,Road,medium,small,1810,1610.90
118,20,22,21/3/2017,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
119,64,1591,20/2/2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
120,0,678,16/6/2017,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43
121,25,50,4/12/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
122,24,1038,1/12/2017,True,Approved,Solex,Road,medium,large,1777.8,820.78
123,31,1453,5/3/2017,True,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
124,98,1339,21/3/2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
125,22,3382,3/1/2017,True,Approved,Solex,Standard,medium,medium,575.27,431.45
126,53,773,1/4/2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
127,84,2503,16/3/2017,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
128,25,1057,26/2/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
129,50,1397,5/6/2017,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92
130,44,2134,4/9/2017,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
131,96,2403,18/1/2017,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77
132,12,1937,28/9/2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
133,93,1282,2/9/2017,True,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
134,78,2183,9/5/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
135,84,1788,17/10/2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
136,65,1170,25/4/2017,True,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69
137,0,431,23/9/2017,False,Approved,,,,,1942.61,
138,29,1940,2/8/2017,False,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
139,32,2073,25/3/2017,False,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.40
140,11,462,1/1/2017,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
141,10,2728,22/12/2017,False,Approved,Solex,Standard,medium,medium,1945.43,333.18
142,46,2053,25/12/2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51
143,60,2135,26/1/2017,True,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
144,92,1217,20/12/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
145,7,2992,7/6/2017,True,Approved,Trek Bicycles,Road,low,medium,980.37,234.43
146,41,3261,6/4/2017,True,Approved,Solex,Road,medium,medium,416.98,312.74
147,67,2748,25/4/2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
148,14,3262,13/1/2017,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29
149,89,788,21/3/2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
150,9,3067,21/11/2017,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.40
151,31,701,11/11/2017,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18
152,92,648,16/10/2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
153,37,3286,19/8/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
154,3,3383,6/4/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
155,56,982,4/11/2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88
156,14,676,22/8/2017,True,Approved,Solex,Standard,high,large,1842.92,1105.75
157,6,385,15/9/2017,True,Approved,Solex,Standard,high,medium,748.17,448.90
158,50,1229,1/3/2017,True,Approved,WeareA2B,Standard,medium,small,175.89,131.92
159,10,3232,16/8/2017,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25
160,0,3300,27/8/2017,False,Approved,,,,,1656.86,
161,69,2381,10/7/2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
162,78,371,11/12/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
163,80,2519,20/5/2017,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
164,17,2264,30/7/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.80
165,3,2637,25/10/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
166,78,3262,27/11/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
167,90,3177,26/4/2017,,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
168,87,2267,2/2/2017,False,Approved,Giant Bicycles,Standard,high,medium,1179,707.40
169,97,456,2/5/2017,False,Approved,Solex,Standard,medium,large,202.62,151.96
170,6,404,16/10/2017,,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
171,100,3121,22/10/2017,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35
172,55,2365,11/4/2017,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
173,100,2528,16/11/2017,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35
174,10,3151,17/12/2017,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25
175,25,3241,23/12/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
176,74,1335,30/3/2017,True,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
177,90,2234,13/4/2017,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
178,56,3226,25/7/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.90
179,62,1365,31/1/2017,False,Approved,Solex,Standard,medium,medium,478.16,298.72
180,20,3349,18/3/2017,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
181,17,1002,24/2/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.80
182,16,2282,18/2/2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
183,46,2656,7/1/2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51
184,71,2409,5/7/2017,True,Approved,Solex,Standard,high,large,1842.92,1105.75
185,91,1711,19/11/2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
186,17,2582,8/11/2017,True,Approved,Solex,Standard,high,medium,1024.66,614.80
187,1,1005,24/7/2017,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
188,3,1597,15/1/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
189,56,2713,12/1/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.90
190,37,1435,27/11/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
191,34,1477,30/6/2017,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72
192,0,1614,15/7/2017,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18
193,12,1254,22/6/2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
194,25,1423,2/5/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
195,81,276,27/12/2017,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94
196,19,1315,21/12/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
197,45,591,23/5/2017,True,Approved,Solex,Standard,medium,medium,441.49,84.99
198,74,1017,2/2/2017,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52
199,33,2123,8/6/2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
200,57,2889,15/4/2017,True,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
201,0,3208,5/9/2017,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
202,23,2406,26/2/2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88
203,67,2041,29/7/2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
204,81,1598,3/7/2017,True,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94
205,58,1842,27/5/2017,True,Approved,OHM Cycles,Standard,medium,medium,912.52,141.40
206,5,141,5/5/2017,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
207,94,1321,9/9/2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
208,51,183,21/5/2017,False,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.40
209,59,2591,22/9/2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
210,63,3356,12/4/2017,True,Approved,Solex,Standard,medium,medium,1483.2,99.59
211,40,766,7/5/2017,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.90
212,80,1596,13/1/2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
213,82,520,14/12/2017,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
214,46,868,22/3/2017,True,Approved,Solex,Standard,low,medium,1289.85,74.51
215,78,2999,30/9/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
216,72,352,29/11/2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.30
217,75,1140,9/6/2017,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
218,40,621,21/4/2017,False,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
219,2,3307,13/11/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33
220,10,1502,9/4/2017,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25
221,35,936,8/5/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
222,8,939,8/7/2017,True,Approved,Solex,Road,medium,small,1703.52,1516.13
223,2,2698,30/11/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33
224,69,579,25/4/2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
225,54,2036,30/3/2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
226,8,3077,10/3/2017,False,Approved,Solex,Road,medium,small,1703.52,1516.13
227,86,369,16/3/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
228,13,821,4/4/2017,True,Approved,Solex,Standard,medium,medium,1163.89,589.27
229,19,2687,13/3/2017,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
230,86,681,23/12/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
231,46,37,12/8/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
232,30,3002,4/8/2017,False,Approved,Solex,Standard,high,medium,748.17,448.90
233,92,396,1/9/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
234,71,550,1/9/2017,True,Approved,Solex,Standard,high,large,1842.92,1105.75
235,77,1605,2/7/2017,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.10
236,7,2325,31/8/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
237,23,1420,11/3/2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88
238,12,3099,8/10/2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
239,61,1645,1/10/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
240,21,546,23/11/2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74
241,86,2885,27/3/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
242,57,2740,4/12/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
243,63,3166,13/11/2017,True,Approved,Solex,Standard,medium,medium,1483.2,99.59
244,63,3487,20/12/2017,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63
245,33,2890,22/9/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
246,98,3370,22/1/2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
247,15,3393,29/1/2017,True,Approved,Norco Bicycles,Standard,low,medium,958.74,748.90
248,57,2410,21/7/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
249,61,3466,10/2/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
250,48,1454,25/11/2017,False,Cancelled,WeareA2B,Standard,medium,medium,1762.96,950.52
251,63,1967,11/4/2017,,Approved,Solex,Standard,medium,medium,1483.2,99.59
252,78,3089,3/12/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
253,2,3123,30/12/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33
254,67,2692,26/7/2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74
255,67,2801,1/4/2017,True,Cancelled,Norco Bicycles,Road,medium,medium,544.05,376.84
256,13,1580,22/10/2017,True,Approved,Solex,Standard,medium,medium,1577.53,826.51
257,65,352,22/3/2017,False,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69
258,49,1777,15/6/2017,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
259,87,142,6/7/2017,True,Approved,Giant Bicycles,Standard,high,medium,1179,707.40
260,31,3393,28/12/2017,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18
261,17,599,9/5/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.80
262,91,1258,18/1/2017,False,Approved,Solex,Standard,medium,medium,100.35,75.26
263,53,3405,22/10/2017,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
264,38,3198,30/1/2017,False,Approved,Solex,Standard,medium,medium,1577.53,826.51
265,20,834,26/6/2017,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
266,44,3467,7/11/2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
267,69,3436,13/8/2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
268,68,1516,27/8/2017,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71
269,11,2833,25/1/2017,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
270,2,2362,13/2/2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
271,27,2337,11/7/2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
272,0,2149,30/4/2017,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03
273,81,2133,19/5/2017,False,Approved,Solex,Standard,medium,medium,1151.96,649.49
274,6,360,26/5/2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
275,76,2969,3/2/2017,True,Approved,WeareA2B,Standard,low,medium,642.31,513.85
276,18,1720,28/4/2017,False,Approved,Solex,Standard,medium,medium,575.27,431.45
277,18,2904,23/3/2017,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
278,9,754,3/6/2017,False,Approved,OHM Cycles,Road,medium,medium,742.54,667.40
279,35,1826,25/4/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
280,93,2487,8/4/2017,False,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
281,40,2815,18/2/2017,False,Approved,OHM Cycles,Standard,high,medium,1458.17,874.90
282,1,541,4/5/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
283,16,302,29/3/2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
284,44,2024,3/10/2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
285,48,142,27/7/2017,True,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52
286,56,768,7/8/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.90
287,36,2147,7/2/2017,True,Approved,Solex,Standard,low,medium,1289.85,74.51
288,36,529,20/11/2017,True,Approved,Solex,Standard,low,medium,945.04,507.58
289,13,825,23/2/2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27
290,55,624,5/4/2017,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
291,38,2302,7/11/2017,False,Approved,Solex,Standard,medium,medium,1577.53,826.51
292,64,3380,28/10/2017,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
293,0,314,19/11/2017,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
294,79,1079,25/8/2017,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
295,11,1643,20/1/2017,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
296,91,1524,14/3/2017,True,Approved,Solex,Standard,medium,medium,100.35,75.26
297,18,3205,14/4/2017,True,Approved,Solex,Standard,medium,medium,575.27,431.45
298,17,2860,20/11/2017,True,Approved,Solex,Standard,high,medium,1024.66,614.80
299,13,772,24/5/2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27
300,4,323,25/3/2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
301,78,2530,24/3/2017,,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
302,42,2426,17/3/2017,True,Approved,OHM Cycles,Road,medium,small,1810,1610.90
303,48,1883,18/11/2017,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52
304,12,2745,7/4/2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
305,77,2819,4/1/2017,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.10
306,25,792,13/12/2017,False,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.40
307,35,923,20/4/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
308,7,3353,21/7/2017,False,Approved,Trek Bicycles,Road,low,medium,980.37,234.43
